kernel,N,gflops,pct_of_cublas,pct_of_measured_peak
naive,256,437.6,26.5,6.4
naive,512,489.5,14.4,7.1
naive,1024,441.6,10.3,6.4
naive,2048,476.7,10.3,6.9
naive,4096,466.1,11.3,6.8
shared tiled,256,387.1,23.5,5.6
shared tiled,512,431.4,12.7,6.3
shared tiled,1024,389.5,9.1,5.7
shared tiled,2048,435.1,9.4,6.3
shared tiled,4096,429.7,10.4,6.2
register 8x8,256,417.9,25.3,6.1
register 8x8,512,1653.3,48.7,24.0
register 8x8,1024,2183.1,50.8,31.7
register 8x8,2048,2269.6,49.1,33.0
register 8x8,4096,2285.2,55.5,33.2
+ float4,256,660.9,40.1,9.6
+ float4,512,2571.9,75.8,37.4
+ float4,1024,4124.0,96.0,59.9
+ float4,2048,3950.6,85.5,57.4
+ float4,4096,3726.6,90.5,54.1
tuned (BK=16),1024,4133.9,96.2,60.1
tuned (BK=16),2048,4458.1,96.5,64.8
tuned (BK=16),4096,4288.8,104.1,62.3
cuBLAS,256,1649.1,100.0,24.0
cuBLAS,512,3391.4,100.0,49.3
cuBLAS,1024,4295.5,100.0,62.4
cuBLAS,2048,4618.1,100.0,67.1
cuBLAS,4096,4119.0,100.0,59.8
